"district","school","enroll","mmr_pct","mmr_partial","mmr_nonmedical","notes","MMR_pct_vac","MMR_pct_nodoses","MMR_pct_nonmedical","category"
"ST CROIX PREPARATORY ACADEMY","ST CROIX PREPARATORY ACADEMY",91,0.8791,0,0.0989,NA,0.93,0.0111,0.0556,"low(85-95)"
"MOORHEAD","PARK CHRISTIAN",25,0.88,0,0.12,NA,0.91,0,0.0882,"low(85-95)"
"EAGLE RIDGE ACADEMY CHARTER SCHOOL","EAGLE RIDGE ACADEMY CHARTER SCHOOL",101,0.8812,0.0891,0.0297,NA,0.66,0.3309,0.0074,"very low"
"DAVINCI ACADEMY","DAVINCI ACADEMY",51,0.8824,0,0.1176,NA,0.92,0.02,0.05,"low(85-95)"
"COLOGNE ACADEMY","COLOGNE ACADEMY",52,0.8846,0,0.1154,NA,0.83,0.1385,0.0308,"very low"
"PARNASSUS PREPARATORY SCHOOL","PARNASSUS PREPARATORY SCHOOL",78,0.8846,0.0385,0.0769,NA,0.82,0.125,0.0547,"very low"
"ALBERT LEA","HOLLANDALE CHRISTIAN",9,0.8889,0,0.1111,NA,0.85,0,0.1538,"low(85-95)"
"BRAINERD","ST FRANCIS OF ASSISI",18,0.8889,0,0.1111,NA,NA,NA,NA,"Enrollment < 5"
"CAMBRIDGE-ISANTI","CAMBRIDGE CHRISTIAN SCHOOL",9,0.8889,0,0.1111,NA,0.78,0.2222,0,"very low"
"CHASKA","GUARDIAN ANGELS",9,0.8889,0,0.1111,NA,1,0,0,"95 and above"
"MOUNDS VIEW","OAK HILL MONTESSORI",9,0.8889,0,0.1111,NA,0.92,0.0833,0,"low(85-95)"
"N.E. METRO INTERMEDIATE DIST. 916","PANKALO EDUCATION CENTER",9,0.8889,0.1111,0,NA,NA,NA,NA,"Enrollment < 5"
"ROCHESTER","RESURRECTION LUTHERAN",9,0.8889,0,0.1111,NA,1,0,0,"95 and above"
"PRAIRIE SEEDS ACADEMY","PRAIRIE SEEDS ACADEMY",65,0.8923,0.1077,0,NA,0.92,0.0833,0,"low(85-95)"
"ANOKA-HENNEPIN","LEGACY CHRISTIAN SCHOOL",38,0.8947,0,0.1053,NA,0.81,0.0278,0.1667,"very low"
"BUFFALO","ST FRANCIS XAVIER",19,0.8947,0,0.1053,NA,0.91,0,0.087,"low(85-95)"
"OSSEO","HERITAGE CHRISTIAN ACADEMY",19,0.8947,0,0.1053,NA,0.81,0,0.1852,"very low"
"ST. LOUIS PARK","HOLY FAMILY ACADEMY",19,0.8947,0,0.1053,NA,0.53,0.1333,0.3333,"very low"
"BURNSVILLE","ST JOHN THE BAPTIST-SAVAGE",29,0.8966,0,0.1034,NA,1,0,0,"95 and above"
"FRIDLEY","AL-AMAL SCHOOL",29,0.8966,0,0.1034,NA,0.83,0.0286,0.1429,"very low"
"DETROIT LAKES","HOLY ROSARY",10,0.9,0,0.1,NA,1,0,0,"95 and above"
"FRIDLEY","WOODCREST BAPTIST ACADEMY",10,0.9,0,0.1,NA,0.86,0,0.1429,"low(85-95)"
"LACRESCENT-HOKAH","ST PETER",10,0.9,0.1,0,NA,NA,NA,NA,"Enrollment < 5"
"LEWISTON-ALTURA","ST JOHN",10,0.9,0,0.1,NA,0.75,0.1667,0.0833,"very low"
"MINNEAPOLIS","OUR LADY OF PEACE",10,0.9,0,0.1,NA,0.92,0.0769,0,"low(85-95)"
"MINNEOTA","ST EDWARD",10,0.9,0,0.1,NA,0.67,0.3333,0,"very low"
"TRI-CITY UNITED SCHOOL DISTRICT","HOLY REDEEMER",10,0.9,0,0.1,NA,0.88,0.125,0,"low(85-95)"
"TRUMAN","TRUMAN PUBLIC SCHOOL",10,0.9,0.1,0,NA,0.39,0.6111,0,"very low"
"MINNEAPOLIS","SULLIVAN",61,0.9016,0.082,0.0164,NA,0.76,0.2203,0.0169,"very low"
"CROSSLAKE COMMUNITY CHARTER SCHOOL","CROSSLAKE COMMUNITY CHARTER SCHOOL",21,0.9048,0.0476,0.0476,NA,0.8,0.0667,0.1333,"very low"
"ROSEVILLE","NORTH HEIGHTS CHRISTIAN ACADEMY",21,0.9048,0,0.0952,NA,0.69,0.1923,0.1154,"very low"
"PACT CHARTER SCHOOL","PACT CHARTER SCHOOL",53,0.9057,0,0.0943,NA,0.7,0,0.3,"very low"
"DULUTH","ST JAMES SCHOOL",11,0.9091,0,0.0909,NA,0.82,0.1176,0.0588,"very low"
"ROSEVILLE","KING OF KINGS LUTHERAN",11,0.9091,0,0.0909,NA,0.92,0.0769,0,"low(85-95)"
"WILLMAR","COMMUNITY CHRISTIAN",22,0.9091,0,0.0909,NA,0.89,0.1053,0,"low(85-95)"
"LAKE SUPERIOR","WILLIAM KELLEY",23,0.913,0,0.087,NA,1,0,0,"95 and above"
"MINNEAPOLIS","HMONG INTERNATIONAL ACADEMY",46,0.913,0.087,0,NA,0.7,0.2982,0,"very low"
"KALEIDOSCOPE CHARTER SCHOOL","KALEIDOSCOPE CHARTER SECONDARY",35,0.9143,0,0.0857,NA,0.72,0.0435,0.2319,"very low"
"MINNEAPOLIS","JEFFERSON EL.",59,0.9153,0.0847,0,NA,0.91,0.0851,0,"low(85-95)"
"CYBER VILLAGE ACADEMY","CYBER VILLAGE ACADEMY",24,0.9167,0.0417,0.0417,NA,NA,NA,NA,"Enrollment < 5"
"GREAT EXPECTATIONS","GREAT EXPECTATIONS",12,0.9167,0,0.0833,NA,0.8,0.1333,0.0667,"very low"
"ROSEMOUNT-APPLE VALLEY-EAGAN","FIRST BAPTIST",12,0.9167,0,0.0833,NA,0.58,0,0.4211,"very low"
"WATERTOWN-MAYER","CHRIST COMMUNITY",12,0.9167,0.0833,0,NA,0.67,0.1667,0.1667,"very low"
"CANNON RIVER STEM SCHOOL","CANNON RIVER STEM SCHOOL",37,0.9189,0,0.0811,NA,0.85,0.125,0.025,"low(85-95)"
"BLOOMINGTON","BLOOMINGTON LUTHERAN",26,0.9231,0,0.0769,NA,0.64,0,0.3636,"very low"
"FAIRMONT AREA SCHOOLS","ST PAULS LUTHERAN-FAIRMONT",13,0.9231,0.0769,0,NA,1,0,0,"95 and above"
"H.O.P.E. ACADEMY","H.O.P.E. ACADEMY",52,0.9231,0.0769,0,NA,0.81,0.1887,0,"very low"
"MOORHEAD","ST JOSEPH",13,0.9231,0,0.0769,NA,0.91,0,0.0857,"low(85-95)"
"OWATONNA","OWATONNA CHRISTIAN",13,0.9231,0,0,NA,0.91,0,0,"low(85-95)"
"MINNEAPOLIS","ST. HELENA",14,0.9286,0,0,NA,0.92,0.0769,0,"low(85-95)"
"OSSEO","AVA MARIA ACADEMY",14,0.9286,0,0.0714,NA,1,0,0,"95 and above"
"WEST ST. PAUL-MENDOTA HTS.-EAGAN","CROWN OF LIFE",14,0.9286,0,0.0714,NA,1,0,0,"95 and above"
"NORTH ST PAUL-MAPLEWOOD","ST PETER",15,0.9333,0,0.0667,NA,0.89,0,0.1053,"low(85-95)"
"TWIN CITIES GERMAN IMMERSION CHRTR","TWIN CITIES GERMAN IMMERSION CHRTR",45,0.9333,0.0444,0.0222,NA,0.92,0.0694,0.0139,"low(85-95)"
"WACONIA","TRINITY LUTHERAN",16,0.9375,0,0.0625,NA,0.82,0,0.1818,"very low"
"ROCHESTER","ROCHESTER CENTRAL LUTHERAN",33,0.9394,0.0606,0,NA,0.89,0.1111,0,"low(85-95)"
"MABEL-CANTON","MABEL-CANTON",17,0.9412,0,0.0588,NA,0.96,0,0.0385,"95 and above"
"DULUTH","LAKEVIEW CHRISTIAN ACADEMY",18,0.9444,0,0.0556,NA,0.92,0,0.0833,"low(85-95)"
"HASTINGS","ST ELIZABETH ANN SETON",18,0.9444,0,0.0556,NA,0.84,0,0.1563,"very low"
"ST. PAUL","HIGHLAND CATHOLIC",55,0.9455,0.0182,0.0182,NA,0.95,0.0465,0,"95 and above"
"NORTH ST PAUL-MAPLEWOOD","MOUNDS PARK ACADEMY",37,0.9459,0.027,0.027,NA,0.86,0.1429,0,"low(85-95)"
"BLOOMINGTON","BETHANY ACADEMY",19,0.9474,0.0526,0,NA,1,0,0,"95 and above"
"MINNEOTA","MINNEOTA PUBLIC SCHOOLS",38,0.9474,0,0.0526,NA,0.95,0.0455,0,"95 and above"
"ACADEMIA CESAR CHAVEZ CHARTER SCH","ACADEMIA CESAR CHAVEZ CHARTER SCH",58,0.9483,0.0517,0,NA,0.91,0.0943,0,"low(85-95)"
"STILLWATER","ST CROIX CATHOLIC",39,0.9487,0.0256,0.0256,NA,0.9,0,0.1,"low(85-95)"
"MINNEAPOLIS","RISEN CHRIST",41,0.9512,0.0488,0,NA,0.98,0.0222,0,"95 and above"
"CLEARBROOK-GONVICK","CLEARBROOK-GONVICK SCHOOL",42,0.9524,0.0476,0,NA,0.77,0.2333,0,"very low"
"ST. PAUL","FRIENDS SCHOOL OF MINNESOTA",21,0.9524,0,0.0476,NA,0.8,0.1333,0.0667,"very low"
"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY",44,0.9545,0.0455,0,NA,0.9,0.1,0,"low(85-95)"
"MINNEAPOLIS","BARTON OPEN EL.",90,0.9556,0.0111,0.0333,NA,0.87,0.1154,0.0128,"low(85-95)"
"COMMUNITY SCHOOL OF EXCELLENCE","COMMUNITY SCHOOL OF EXCELLENCE",136,0.9559,0.0441,0,NA,0.84,0.1643,0,"very low"
"BEMIDJI","ST PHILIP",23,0.9565,0,0.0435,NA,0.96,0.0357,0,"95 and above"
"EDGERTON","EDGERTON CHRISTIAN",23,0.9565,0,0.0435,NA,1,0,0,"95 and above"
"NORTH ST PAUL-MAPLEWOOD","TRANSFIGURATION",23,0.9565,0.0435,0,NA,1,0,0,"95 and above"
"SEVEN HILLS CLASSICAL ACADEMY","SEVEN HILLS PREPATORY ACADEMY - UPPER",73,0.9589,0,0.0411,NA,0.93,0.0233,0.0465,"low(85-95)"
"ANOKA-HENNEPIN","EPIPHANY EDUC CENTER",50,0.96,0,0.04,NA,0.9,0,0.0952,"low(85-95)"
"LEROY","LEROY - OSTRANDER PUBLIC SCHOOLS",25,0.96,0,0.04,NA,0.9,0,0.0952,"low(85-95)"
"MOUNDS VIEW","ST JOHN THE BAPTIST",25,0.96,0.04,0,NA,0.83,0.0667,0.1,"very low"
"TRITON","TRITON MIDDLE SCHOOL",103,0.9612,0.0388,0,NA,0.97,0.0267,0,"95 and above"
"HOPKINS","NOTRE DAME ACADEMY",26,0.9615,0,0.0385,NA,1,0,0,"95 and above"
"MINNEAPOLIS","CARONDELET CATHOLIC",53,0.9623,0,0.0377,NA,0.9,0.0256,0.0769,"low(85-95)"
"UPSALA","UPSALA AREA SCHOOLS",28,0.9643,0,0.0357,NA,0.55,0.4,0.05,"very low"
"DULUTH PUBLIC SCHOOLS ACADEMY","NORTH STAR",145,0.9655,0.0138,0.0207,NA,0.95,0.044,0.011,"95 and above"
"LANESBORO","LANESBORO PUBLIC SCHOOL",29,0.9655,0,0.0345,NA,0.96,0,0.0357,"95 and above"
"ROCHESTER","HOLY SPIRIT",29,0.9655,0,0,NA,0.9,0,0.0952,"low(85-95)"
"TRI-CITY UNITED SCHOOL DISTRICT","LECENTER K-8",29,0.9655,0,0.0345,NA,0.92,0.04,0.02,"low(85-95)"
"YINGHAU","YINGHUA ACADEMY",58,0.9655,0,0.0172,NA,0.87,0.0235,0.1059,"low(85-95)"
"ROSEVILLE","PARKVIEW CENTER EL.",88,0.9659,0,0.0341,NA,0.95,0.025,0.025,"95 and above"
"MINNEAPOLIS","MINNEHAHA ACADEMY LOWER",59,0.9661,0,0.0339,NA,0.75,0.2188,0.0313,"very low"
"ST. CLOUD","KENNEDY EL.",91,0.967,0,0.033,NA,0.91,0.0256,0.0385,"low(85-95)"
"TRACY AREA PUBLIC SCHOOLS","TRACY EL.",62,0.9677,0.0323,0,NA,0.91,0.0889,0,"low(85-95)"
"EXCELL ACADEMY CHARTER","EXCELL ACADEMY CHARTER",32,0.9688,0.0313,0,NA,0.84,0.1379,0.0172,"very low"
"NEW YORK MILLS","NEW YORK MILLS PUBLIC SCHOOLS",65,0.9692,0.0308,0,NA,0.9,0.0317,0.0635,"low(85-95)"
"Statewide","Statewide",NA,0.9698,0.0086,0.0202,NA,0.93,0.0406,0.0325,"low(85-95)"
"ANOKA-HENNEPIN","ST STEPHEN",34,0.9706,0,0.0294,NA,1,0,0,"95 and above"
"MANKATO","MANKATO AREA CATHOLIC SCHOOLS  INC",34,0.9706,0.0294,0,NA,1,0,0,"95 and above"
"NEW ULM","ST PAULS LUTHERAN",34,0.9706,0,0.0294,NA,1,0,0,"95 and above"
"MINNEAPOLIS","ANDERSEN UNITED COMMUNITY SCHOOL",108,0.9722,0.0278,0,NA,0.85,0.1505,0,"low(85-95)"
"OWATONNA","ST MARYS - MARIAN",37,0.973,0,0.027,NA,0.87,0.0968,0.0323,"low(85-95)"
"SPRINGFIELD","SPRINGFIELD PUBLIC SCHOOL",38,0.9737,0,0.0263,NA,1,0,0,"95 and above"
"ROCHESTER","ST FRANCIS",39,0.9744,0,0.0256,NA,1,0,0,"95 and above"
"ROSEMOUNT-APPLE VALLEY-EAGAN","FAITHFUL SHEPHERD CATHOLIC",42,0.9762,0,0.0238,NA,0.98,0,0.0244,"95 and above"
"WEST ST. PAUL-MENDOTA HTS.-EAGAN","CONVENT OF THE VISITATION",45,0.9778,0,0.0222,NA,1,0,0,"95 and above"
"MINNEAPOLIS","MARCY OPEN EL.",91,0.978,0,0.022,NA,0.84,0.1579,0,"very low"
"OSSEO","MARANATHA CHRISTIAN ACADEMY-BROOKLY",47,0.9787,0,0.0213,NA,0.74,0,0.2564,"very low"
"ST. PAUL","HOLY SPIRIT",47,0.9787,0,0.0213,NA,0.86,0,0.1364,"low(85-95)"
"ST. PAUL","HAZEL PARK PREPARATORY ACADEMY",95,0.9789,0.0211,0,NA,0.81,0.1702,0.0213,"very low"
"LAKEVIEW","LAKEVIEW PUBLIC SCHOOLS",49,0.9796,0.0204,0,NA,0.96,0.0408,0,"95 and above"
"GOODHUE","GOODHUE PUBLIC SCHOOL",50,0.98,0.02,0,NA,0.96,0.0222,0.0222,"95 and above"
"MOUNDS VIEW","ST ODILIA",55,0.9818,0.0182,0,NA,0.98,0,0.0192,"95 and above"
"WAYZATA","PROVIDENCE ACADEMY",55,0.9818,0,0.0182,NA,0.85,0.025,0.125,"low(85-95)"
"ST. PAUL","AMERICAN INDIAN",64,0.9844,0,0.0156,NA,0.83,0.1714,0,"very low"
"CHASKA","ST HUBERT CATHOLIC SCHOOL",69,0.9855,0,0.0145,NA,0.94,0,0.06,"low(85-95)"
"MAPLE LAKE","MAPLE LAKE EL.",69,0.9855,0,0.0145,NA,0.92,0.0625,0.0208,"low(85-95)"
"OSAKIS","OSAKIS SEC.",77,0.987,0,0.013,NA,0.92,0,0.0833,"low(85-95)"
"HOPKINS","BRECK",90,0.9889,0,0,NA,0.98,0,0.0222,"95 and above"
"MINNEAPOLIS","FOLWELL PERFORMING ARTS MAGNET",100,0.99,0,0.01,NA,0.96,0.0206,0.0206,"95 and above"
"ACHIEVE LANGUAGE ACADEMY","ACHIEVE LANGUAGE ACADEMY",47,1,0,0,NA,0.71,0.2889,0,"very low"
"ALEXANDRIA","ZION LUTHERAN",6,1,0,0,NA,1,0,0,"95 and above"
"ANOKA-HENNEPIN","CROSS OF CHRIST LUTHERAN",9,1,0,0,NA,1,0,0,"95 and above"
"AUSTIN","PACELLI CATHOLIC  SCHOOLS",18,1,0,0,NA,0.93,0.037,0.037,"low(85-95)"
"BEMIDJI","HEARTLAND CHRISTIAN ACADEMY",6,1,0,0,NA,0.64,0.0909,0.2727,"very low"
"BERTHA-HEWITT","BERTHA-HEWITT PUBLIC SCHOOLS",31,1,0,0,NA,1,0,0,"95 and above"
"BLOOMINGTON","NATIVITY OF MARY",26,1,0,0,NA,1,0,0,"95 and above"
"BLOOMINGTON","RAMALYNN MONTESSORI ACADEMY",10,1,0,0,NA,0.76,0.2353,0,"very low"
"BRECKENRIDGE","ST MARY",18,1,0,0,NA,0.75,0.25,0,"very low"
"BROWNS VALLEY","BROWNS VALLEY PUBLIC SCHOOL",12,1,0,0,NA,1,0,0,"95 and above"
"CALEDONIA","ST JOHNS EV LUTHERAN",9,1,0,0,NA,0.86,0.1429,0,"low(85-95)"
"CALEDONIA","ST MARYS ELEMENTARY",10,1,0,0,NA,0.87,0.0667,0.0667,"low(85-95)"
"CAMPBELL-TINTAH","CAMPBELL-TINTAH PUBLIC SCHOOL",6,1,0,0,NA,0.62,0.3846,0,"very low"
"CHOKIO-ALBERTA","CHOKIO-ALBERTA PUBLIC SCHOOLS",9,1,0,0,NA,1,0,0,"95 and above"
"CLEVELAND PUBLIC SCHOOL","CLEVELAND PUBLIC SCHOOL",51,1,0,0,NA,0.87,0.0263,0.1053,"low(85-95)"
"COLUMBIA HEIGHTS","IMMACULATE CONCEPTION",10,1,0,0,NA,1,0,0,"95 and above"
"E.C.H.O. CHARTER SCHOOL","E.C.H.O. CHARTER SCHOOL",9,1,0,0,NA,NA,NA,NA,"Enrollment < 5"
"EAST GRAND FORKS","RIVERSIDE CHRISTIAN SCHOOL",13,1,0,0,NA,0.92,0,0.0833,"low(85-95)"
"EDGERTON","EDGERTON EL.",26,1,0,0,NA,0.88,0.1,0.025,"low(85-95)"
"EDINA","OUR LADY OF GRACE",74,1,0,0,NA,1,0,0,"95 and above"
"FAIRMONT AREA SCHOOLS","ST JAMES LUTHERAN",5,1,0,0,NA,0.67,0.3333,0,"very low"
"FARIBAULT","FARIBAULT LUTHERAN",13,1,0,0,NA,1,0,0,"95 and above"
"FARMINGTON","CHRISTIAN LIFE ACADEMY",13,1,0,0,NA,0.85,0.1538,0,"low(85-95)"
"FISHER","FISHER PUBLIC SCHOOL",22,1,0,0,NA,0.95,0.0455,0,"95 and above"
"FOND DU LAC OJIBWE","FOND DU LAC OJIBWE",12,1,0,0,NA,0.95,0.05,0,"95 and above"
"GLENCOE-SILVER LAKE","FIRST EV LUTHERAN",7,1,0,0,NA,0.88,0,0.125,"low(85-95)"
"GLOBAL ACADEMY","GLOBAL ACADEMY",51,1,0,0,NA,0.92,0.0755,0,"low(85-95)"
"GRANADA HUNTLEY-EAST CHAIN","GRANADA-HUNTLEY EAST CHAIN",19,1,0,0,NA,0.68,0.16,0.16,"very low"
"HENNING","HENNING SCHOOL",34,1,0,0,NA,0.9,0.0667,0.0333,"low(85-95)"
"HIBBING","VICTORY CHRISTIAN ACADEMY",6,1,0,0,NA,0.87,0,0.1333,"low(85-95)"
"JACKSON COUNTY CENTRAL","IMMANUEL LUTHERAN",9,1,0,0,NA,1,0,0,"95 and above"
"KIPP MINNESOTA CHARTER SCHOOL","KIPP MINNESOTA CHARTER SCHOOL",44,1,0,0,NA,0.84,0.0714,0.0893,"very low"
"LAFAYETTE PUBLIC CHARTER","LAFAYETTE PUBLIC CHARTER SCHOOL",9,1,0,0,NA,0.88,0.125,0,"low(85-95)"
"LAKEVILLE","ALL SAINTS CATHOLIC SCHOOL",35,1,0,0,NA,0.95,0,0.0455,"95 and above"
"LYLE","LYLE K-12",23,1,0,0,NA,1,0,0,"95 and above"
"LYND","LYND EL.",5,1,0,0,NA,0.96,0.0357,0,"95 and above"
"MANKATO","GOOD SHEPHERD SCHOOL",6,1,0,0,NA,NA,NA,NA,"Enrollment < 5"
"MANKATO","IMMANUEL LUTHERAN",9,1,0,0,NA,0.91,0.0909,0,"low(85-95)"
"MANKATO","MOUNT OLIVE LUTHERAN",9,1,0,0,NA,1,0,0,"95 and above"
"MANKATO","RISEN SAVIOR LUTHERAN SCHOOL",8,1,0,0,NA,1,0,0,"95 and above"
"MARSHALL","HOLY REDEEMER",26,1,0,0,NA,0.88,0.125,0,"low(85-95)"
