district,school,enroll,dtap_pct_vac,dtap_partial,dtap_nonmedical,dtap_medical,polio_pct,polio_partial,polio_nonmedical,polio_medical,mmr_pct,mmr_partial,mmr_nonmedical,mmr_medical,hepb_pct,hepb_partial,hepb_nonmedical,hepb_medical,varicella_pct,varicella_partial,varicella_diseasehistory,varicella_nonmedical,varicella_medical,tdap_pct,tdap_nodoses,tdap_nonmedical,tdap_medical,meningococcal_pct,meningococcal_nodoses,meningococcal_nonmedical,meningococcal_medical,notes
ELY,MEMORIAL SEC.,53,0.9245,0.0377,0.0377,0.0000,0.9623,0.0000,0.0377,0.0000,0.9811,0.0000,0.0189,0.0000,0.9811,0.0000,0.0189,0.0000,0.9434,0.0189,0.0000,0.0377,0.0000,0.8113,0.1698,0.0189,0.0000,0.7925,0.1887,0.0189,0.0000,
FARIBAULT,FARIBAULT MIDDLE SCHOOL,267,0.9850,0.0037,0.0112,0.0000,0.9888,0.0000,0.0112,0.0000,0.9813,0.0000,0.0150,0.0037,0.9850,0.0000,0.0150,0.0000,0.9775,0.0000,0.0037,0.0187,0.0000,0.9850,0.0000,0.0150,0.0000,0.9775,0.0000,0.0000,0.0225,
BELGRADE-BROOTEN-ELROSA,BELGRADE-BROOTEN-ELROSA SEC.,54,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9815,0.0185,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9815,0.0185,0.0000,0.0000,0.0000,0.9630,0.0370,0.0000,0.0000,0.9444,0.0370,0.0185,0.0000,
KERKHOVEN-MURDOCK-SUNBURG,KERKHOVEN SEC.,54,0.9815,0.0000,0.0185,0.0000,0.9815,0.0000,0.0185,0.0000,0.9815,0.0000,0.0185,0.0000,1.0000,0.0000,0.0000,0.0000,0.9444,0.0000,0.0370,0.0185,0.0000,0.9630,0.0000,0.0370,0.0000,0.9630,0.0000,0.0370,0.0000,
THIEF RIVER FALLS,FRANKLIN MID.,162,0.9815,0.0000,0.0185,0.0000,0.9877,0.0000,0.0123,0.0000,0.9815,0.0000,0.0185,0.0000,0.9815,0.0000,0.0185,0.0000,0.9753,0.0000,0.0000,0.0247,0.0000,0.9815,0.0000,0.0185,0.0000,0.9815,0.0000,0.0185,0.0000,
ST. PAUL,WASHINGTON,325,0.9785,0.0154,0.0062,0.0000,0.9785,0.0154,0.0062,0.0000,0.9815,0.0154,0.0000,0.0031,0.9754,0.0154,0.0092,0.0000,0.9723,0.0185,0.0000,0.0062,0.0031,0.7415,0.2554,0.0031,0.0000,0.7231,0.2738,0.0031,0.0000,
ST. LOUIS PARK,BENILDE - ST MARGARETS,109,0.9908,0.0092,0.0000,0.0000,0.9817,0.0092,0.0092,0.0000,0.9817,0.0183,0.0000,0.0000,0.9908,0.0092,0.0000,0.0000,0.9541,0.0183,0.0183,0.0092,0.0000,0.9083,0.0917,0.0000,0.0000,0.8991,0.1009,0.0000,0.0000,
MOUNDS VIEW,ST ODILIA,55,0.9818,0.0182,0.0000,0.0000,0.9818,0.0182,0.0000,0.0000,0.9818,0.0182,0.0000,0.0000,0.9636,0.0364,0.0000,0.0000,0.9818,0.0182,0.0000,0.0000,0.0000,0.9818,0.0182,0.0000,0.0000,0.9455,0.0545,0.0000,0.0000,
WAYZATA,PROVIDENCE ACADEMY,55,0.9818,0.0000,0.0182,0.0000,0.9818,0.0000,0.0182,0.0000,0.9818,0.0000,0.0182,0.0000,0.9636,0.0000,0.0364,0.0000,0.9091,0.0000,0.0545,0.0364,0.0000,0.9818,0.0000,0.0182,0.0000,0.9636,0.0000,0.0364,0.0000,
WHITE BEAR LAKE,SUNRISE PARK MID.,275,0.9927,0.0036,0.0036,0.0000,0.9855,0.0036,0.0109,0.0000,0.9818,0.0036,0.0109,0.0036,0.9818,0.0036,0.0145,0.0000,0.9745,0.0036,0.0036,0.0145,0.0036,0.9782,0.0036,0.0145,0.0036,0.9782,0.0036,0.0145,0.0036,
MAHTOMEDI,MAHTOMEDI MID.,286,0.9755,0.0000,0.0245,0.0000,0.9720,0.0035,0.0245,0.0000,0.9825,0.0000,0.0140,0.0035,0.9755,0.0035,0.0210,0.0000,0.9510,0.0070,0.0175,0.0245,0.0000,0.9825,0.0035,0.0140,0.0000,0.9755,0.0035,0.0175,0.0035,
SHAKOPEE,SHAKOPEE EAST JUNIOR HIGH,295,0.9729,0.0034,0.0203,0.0034,0.9797,0.0068,0.0136,0.0000,0.9831,0.0000,0.0169,0.0000,0.9831,0.0000,0.0136,0.0034,0.9424,0.0034,0.0305,0.0203,0.0034,0.9661,0.0034,0.0271,0.0034,0.9695,0.0034,0.0271,0.0000,
AUSTIN,ELLIS MID.,355,0.9915,0.0000,0.0085,0.0000,0.9915,0.0000,0.0085,0.0000,0.9831,0.0056,0.0113,0.0000,0.9887,0.0000,0.0113,0.0000,0.9690,0.0056,0.0028,0.0141,0.0085,0.9831,0.0056,0.0113,0.0000,0.9831,0.0056,0.0113,0.0000,
MARSHALL,MARSHALL MIDDLE SCHOOL,179,0.9777,0.0000,0.0112,0.0112,0.9832,0.0000,0.0112,0.0056,0.9832,0.0000,0.0112,0.0056,0.9888,0.0000,0.0112,0.0000,0.9274,0.0056,0.0559,0.0056,0.0056,0.9888,0.0056,0.0056,0.0000,0.9832,0.0112,0.0056,0.0000,
ANOKA-HENNEPIN,ROOSEVELT MID.,418,0.9665,0.0096,0.0239,0.0000,0.9880,0.0000,0.0120,0.0000,0.9833,0.0000,0.0167,0.0000,0.9856,0.0000,0.0144,0.0000,0.9785,0.0000,0.0000,0.0215,0.0000,0.9665,0.0096,0.0239,0.0000,0.9761,0.0000,0.0239,0.0000,
MURRAY COUNTY CENTRAL,MURRAY COUNTY CENTRAL SEC.,61,0.9836,0.0000,0.0164,0.0000,0.9836,0.0000,0.0164,0.0000,0.9836,0.0000,0.0164,0.0000,1.0000,0.0000,0.0000,0.0000,0.9180,0.0000,0.0328,0.0492,0.0000,0.9672,0.0000,0.0328,0.0000,0.9836,0.0000,0.0164,0.0000,
HERMANTOWN,HERMANTOWN MID.,185,0.9892,0.0000,0.0054,0.0054,0.9892,0.0000,0.0054,0.0054,0.9838,0.0000,0.0054,0.0108,0.9838,0.0000,0.0162,0.0000,0.9514,0.0000,0.0432,0.0054,0.0000,0.9784,0.0108,0.0108,0.0000,0.9622,0.0162,0.0216,0.0000,
LAC QUI PARLE VALLEY,LAC QUI PARLE VALLEY SEC.,62,0.9839,0.0000,0.0161,0.0000,0.9839,0.0000,0.0161,0.0000,0.9839,0.0000,0.0161,0.0000,0.9516,0.0000,0.0484,0.0000,0.9355,0.0484,0.0000,0.0161,0.0000,0.9677,0.0000,0.0323,0.0000,0.9516,0.0000,0.0484,0.0000,
STEWARTVILLE,STEWARTVILLE MID.,186,0.9839,0.0000,0.0161,0.0000,0.9839,0.0000,0.0161,0.0000,0.9839,0.0000,0.0161,0.0000,0.9839,0.0000,0.0161,0.0000,0.9785,0.0054,0.0000,0.0161,0.0000,0.9839,0.0000,0.0161,0.0000,0.9839,0.0000,0.0161,0.0000,
TRACY AREA PUBLIC SCHOOLS,TRACY SEC.,62,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9839,0.0161,0.0000,0.0000,0.9839,0.0161,0.0000,0.0000,0.9677,0.0323,0.0000,0.0000,0.0000,0.9032,0.0968,0.0000,0.0000,0.9032,0.0968,0.0000,0.0000,
MORA,MORA SEC.,125,0.9920,0.0000,0.0080,0.0000,0.9920,0.0000,0.0080,0.0000,0.9840,0.0000,0.0160,0.0000,0.9920,0.0000,0.0080,0.0000,0.9760,0.0000,0.0080,0.0160,0.0000,0.9760,0.0000,0.0240,0.0000,0.9760,0.0000,0.0240,0.0000,
MINNEAPOLIS,FRANKLIN MIDDLE SCHOOL,127,0.9921,0.0079,0.0000,0.0000,0.9921,0.0079,0.0000,0.0000,0.9843,0.0079,0.0000,0.0079,0.9921,0.0079,0.0000,0.0000,0.9764,0.0079,0.0157,0.0000,0.0000,0.9528,0.0394,0.0079,0.0000,0.9370,0.0551,0.0079,0.0000,
LAKE CRYSTAL-WELLCOME MEMORIAL,LK CRYSTAL-WELLCOME MEMORIAL SEC.,64,1.0000,0.0000,0.0000,0.0000,0.9844,0.0000,0.0156,0.0000,0.9844,0.0000,0.0156,0.0000,1.0000,0.0000,0.0000,0.0000,0.9844,0.0000,0.0000,0.0156,0.0000,0.9688,0.0156,0.0156,0.0000,0.9688,0.0156,0.0156,0.0000,
ST. PAUL,AMERICAN INDIAN,64,0.9844,0.0000,0.0156,0.0000,0.9844,0.0000,0.0156,0.0000,0.9844,0.0000,0.0156,0.0000,0.9844,0.0000,0.0156,0.0000,0.9375,0.0000,0.0000,0.0156,0.0469,0.7031,0.2656,0.0156,0.0156,0.7031,0.2813,0.0000,0.0156,
DEER RIVER,DEER RIVER SEC.,65,0.9846,0.0000,0.0154,0.0000,0.9846,0.0000,0.0154,0.0000,0.9846,0.0000,0.0154,0.0000,0.9846,0.0000,0.0154,0.0000,0.9538,0.0154,0.0000,0.0308,0.0000,0.9538,0.0154,0.0308,0.0000,0.9538,0.0154,0.0308,0.0000,
KENYON-WANAMINGO,KENYON-WANAMINGO MID.,65,0.9846,0.0000,0.0154,0.0000,0.9846,0.0000,0.0154,0.0000,0.9846,0.0000,0.0154,0.0000,0.9846,0.0000,0.0154,0.0000,0.9538,0.0000,0.0154,0.0308,0.0000,0.9692,0.0154,0.0154,0.0000,0.9385,0.0308,0.0308,0.0000,
LAKEVILLE,KENWOOD  TRAIL MIDDLE SCHOOL,260,0.9769,0.0000,0.0231,0.0000,0.9808,0.0000,0.0192,0.0000,0.9846,0.0000,0.0154,0.0000,0.9846,0.0000,0.0154,0.0000,0.9654,0.0000,0.0115,0.0231,0.0000,0.9731,0.0038,0.0231,0.0000,0.9769,0.0000,0.0231,0.0000,
MINNEAPOLIS,OLSON MID.,131,0.9771,0.0076,0.0153,0.0000,0.9847,0.0000,0.0153,0.0000,0.9847,0.0000,0.0153,0.0000,0.9771,0.0076,0.0153,0.0000,0.9847,0.0000,0.0000,0.0153,0.0000,0.9466,0.0382,0.0153,0.0000,0.9237,0.0611,0.0153,0.0000,
PRIOR LAKE-SAVAGE AREA SCHOOLS,TWIN OAKS MIDDLE SCHOOL,328,0.9817,0.0000,0.0183,0.0000,0.9787,0.0000,0.0213,0.0000,0.9848,0.0000,0.0152,0.0000,0.9848,0.0000,0.0152,0.0000,0.9665,0.0000,0.0122,0.0183,0.0030,0.9848,0.0000,0.0152,0.0000,0.9848,0.0000,0.0152,0.0000,
EAST CENTRAL,EAST CENTRAL SR.,66,0.9242,0.0606,0.0152,0.0000,0.9697,0.0152,0.0152,0.0000,0.9848,0.0000,0.0152,0.0000,0.9697,0.0152,0.0152,0.0000,0.9394,0.0000,0.0455,0.0152,0.0000,0.9242,0.0606,0.0152,0.0000,0.8939,0.0758,0.0303,0.0000,
RUSH CITY,RUSH CITY SEC.,67,0.9851,0.0000,0.0149,0.0000,0.9851,0.0000,0.0149,0.0000,0.9851,0.0000,0.0149,0.0000,0.9851,0.0000,0.0149,0.0000,0.9851,0.0000,0.0000,0.0149,0.0000,0.9851,0.0000,0.0149,0.0000,0.9851,0.0000,0.0149,0.0000,
WILLMAR,WILLMAR MIDDLE SCHOOL,335,0.9791,0.0090,0.0119,0.0000,0.9761,0.0060,0.0179,0.0000,0.9851,0.0000,0.0119,0.0030,0.9821,0.0000,0.0119,0.0060,0.9493,0.0030,0.0299,0.0119,0.0060,0.9821,0.0000,0.0179,0.0000,0.9821,0.0000,0.0149,0.0030,
INVER GROVE HEIGHTS SCHOOLS,INVER GROVE HEIGHTS MID.,271,0.9852,0.0037,0.0074,0.0037,0.9815,0.0037,0.0111,0.0037,0.9852,0.0000,0.0111,0.0037,0.9742,0.0037,0.0111,0.0111,0.9705,0.0037,0.0074,0.0111,0.0074,0.9889,0.0000,0.0111,0.0000,0.9889,0.0000,0.0111,0.0000,
PELICAN RAPIDS,PELICAN RAPIDS SEC.,68,0.9853,0.0000,0.0147,0.0000,0.9853,0.0000,0.0147,0.0000,0.9853,0.0000,0.0147,0.0000,0.9706,0.0000,0.0147,0.0147,0.9706,0.0000,0.0147,0.0147,0.0000,0.9559,0.0294,0.0147,0.0000,0.9706,0.0147,0.0147,0.0000,
CHASKA,ST HUBERT CATHOLIC SCHOOL,69,0.9855,0.0000,0.0145,0.0000,0.9855,0.0000,0.0145,0.0000,0.9855,0.0000,0.0145,0.0000,0.9710,0.0000,0.0290,0.0000,0.9855,0.0000,0.0000,0.0145,0.0000,0.9855,0.0000,0.0145,0.0000,0.9855,0.0000,0.0145,0.0000,
MAPLE LAKE,MAPLE LAKE EL.,69,0.9855,0.0000,0.0145,0.0000,0.9855,0.0000,0.0145,0.0000,0.9855,0.0000,0.0145,0.0000,0.9855,0.0000,0.0145,0.0000,0.9855,0.0000,0.0000,0.0145,0.0000,0.9855,0.0000,0.0145,0.0000,0.9855,0.0000,0.0145,0.0000,
FARMINGTON,BOECKMAN MIDDLE SCHOOL,281,0.9822,0.0000,0.0178,0.0000,0.9822,0.0000,0.0178,0.0000,0.9858,0.0000,0.0142,0.0000,0.9858,0.0000,0.0142,0.0000,0.9858,0.0000,0.0036,0.0107,0.0000,0.9573,0.0071,0.0320,0.0036,0.9573,0.0107,0.0320,0.0000,
MAPLE RIVER,MAPLE RIVER SR.,73,0.9863,0.0137,0.0000,0.0000,0.9863,0.0137,0.0000,0.0000,0.9863,0.0137,0.0000,0.0000,0.9863,0.0000,0.0000,0.0137,0.9178,0.0000,0.0685,0.0137,0.0000,0.9863,0.0137,0.0000,0.0000,0.9863,0.0137,0.0000,0.0000,
WINONA AREA PUBLIC SCHOOLS,WINONA MID.,223,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9865,0.0000,0.0135,0.0000,1.0000,0.0000,0.0000,0.0000,0.9776,0.0000,0.0135,0.0090,0.0000,0.9955,0.0000,0.0045,0.0000,0.9910,0.0000,0.0090,0.0000,
FRAZEE-VERGAS,FRAZEE SEC.,75,0.9867,0.0133,0.0000,0.0000,0.9867,0.0133,0.0000,0.0000,0.9867,0.0133,0.0000,0.0000,0.9867,0.0133,0.0000,0.0000,0.9867,0.0133,0.0000,0.0000,0.0000,0.9067,0.0800,0.0133,0.0000,0.8933,0.1067,0.0000,0.0000,
REDWOOD FALLS AREA SCHOOLS,REDWOOD AREA MIDDLE/HIGH SCHOOL,75,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9867,0.0000,0.0000,0.0133,1.0000,0.0000,0.0000,0.0000,0.9467,0.0000,0.0267,0.0133,0.0133,1.0000,0.0000,0.0000,0.0000,0.9867,0.0000,0.0133,0.0000,
ST. PAUL,OPEN WORLD LEARNING COMMUNITY,75,1.0000,0.0000,0.0000,0.0000,0.9867,0.0000,0.0133,0.0000,0.9867,0.0000,0.0000,0.0133,0.9600,0.0000,0.0400,0.0000,0.9867,0.0000,0.0000,0.0000,0.0133,0.9333,0.0667,0.0000,0.0000,0.9067,0.0933,0.0000,0.0000,
HOPKINS,HOPKINS NORTH JR.,304,0.9934,0.0000,0.0066,0.0000,0.9901,0.0033,0.0066,0.0000,0.9868,0.0000,0.0132,0.0000,0.9868,0.0066,0.0033,0.0033,0.9605,0.0000,0.0263,0.0066,0.0066,0.9770,0.0164,0.0066,0.0000,0.9638,0.0296,0.0000,0.0066,
MOORHEAD,HORIZON MIDDLE SCHOOL,462,0.9870,0.0022,0.0108,0.0000,0.9870,0.0000,0.0130,0.0000,0.9870,0.0022,0.0087,0.0022,0.9805,0.0000,0.0108,0.0087,0.9697,0.0043,0.0130,0.0108,0.0022,0.9026,0.0844,0.0108,0.0022,0.8853,0.1017,0.0108,0.0022,
OSAKIS,OSAKIS SEC.,77,0.9870,0.0000,0.0130,0.0000,0.9740,0.0000,0.0260,0.0000,0.9870,0.0000,0.0130,0.0000,0.9870,0.0000,0.0130,0.0000,0.8961,0.0000,0.0519,0.0519,0.0000,0.9351,0.0000,0.0649,0.0000,0.9091,0.0000,0.0909,0.0000,
BAGLEY,BAGLEY SEC.,79,1.0000,0.0000,0.0000,0.0000,0.9873,0.0127,0.0000,0.0000,0.9873,0.0127,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9747,0.0253,0.0000,0.0000,0.0000,0.7975,0.2025,0.0000,0.0000,0.7848,0.2152,0.0000,0.0000,
N.R.H.E.G.,NRHEG SECONDARY,79,0.9873,0.0000,0.0127,0.0000,0.9747,0.0000,0.0253,0.0000,0.9873,0.0000,0.0127,0.0000,0.9873,0.0000,0.0127,0.0000,0.9494,0.0000,0.0127,0.0380,0.0000,0.9873,0.0000,0.0127,0.0000,0.9873,0.0127,0.0000,0.0000,
ROSEAU,ROSEAU SEC.,79,0.9873,0.0000,0.0127,0.0000,0.9873,0.0000,0.0127,0.0000,0.9873,0.0000,0.0127,0.0000,0.9873,0.0000,0.0127,0.0000,0.9747,0.0000,0.0127,0.0127,0.0000,0.9873,0.0000,0.0127,0.0000,0.9873,0.0000,0.0127,0.0000,
SHAKOPEE,SHAKOPEE WEST JUNIOR HIGH,397,0.9773,0.0101,0.0126,0.0000,0.9798,0.0076,0.0126,0.0000,0.9874,0.0025,0.0101,0.0000,0.9773,0.0076,0.0126,0.0025,0.9597,0.0000,0.0227,0.0176,0.0000,0.9723,0.0025,0.0252,0.0000,0.9723,0.0050,0.0227,0.0000,
ROYALTON,ROYALTON SEC.,80,0.9875,0.0000,0.0125,0.0000,0.9875,0.0000,0.0125,0.0000,0.9875,0.0000,0.0125,0.0000,0.9750,0.0000,0.0250,0.0000,0.9750,0.0000,0.0000,0.0250,0.0000,0.9750,0.0000,0.0250,0.0000,0.9750,0.0000,0.0250,0.0000,
MANKATO,PRAIRE WINDS MIDDLE SCHOOL,322,0.9969,0.0000,0.0031,0.0000,0.9938,0.0000,0.0062,0.0000,0.9876,0.0000,0.0124,0.0000,0.9969,0.0000,0.0031,0.0000,0.9752,0.0000,0.0124,0.0124,0.0000,0.9783,0.0031,0.0186,0.0000,0.9689,0.0062,0.0248,0.0000,
INTERNATIONAL FALLS,FALLS SEC.,82,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9878,0.0000,0.0122,0.0000,1.0000,0.0000,0.0000,0.0000,0.9390,0.0000,0.0610,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9878,0.0000,0.0122,0.0000,
WADENA-DEER CREEK,WADENA-DEER CREEK SR.,82,0.9878,0.0122,0.0000,0.0000,0.9878,0.0122,0.0000,0.0000,0.9878,0.0122,0.0000,0.0000,0.9512,0.0488,0.0000,0.0000,0.8902,0.0732,0.0366,0.0000,0.0000,0.9512,0.0366,0.0122,0.0000,0.9512,0.0366,0.0122,0.0000,
ROBBINSDALE,PLYMOUTH MID.,332,0.9880,0.0000,0.0090,0.0030,0.9880,0.0000,0.0120,0.0000,0.9880,0.0000,0.0090,0.0030,0.9880,0.0000,0.0060,0.0060,0.9819,0.0000,0.0000,0.0120,0.0060,0.9880,0.0000,0.0120,0.0000,0.9880,0.0000,0.0120,0.0000,
FARMINGTON,DODGE MIDDLE SCHOOL,251,0.9920,0.0000,0.0080,0.0000,0.9920,0.0000,0.0080,0.0000,0.9880,0.0000,0.0080,0.0040,0.9880,0.0000,0.0080,0.0040,0.9721,0.0000,0.0000,0.0120,0.0159,0.9841,0.0000,0.0159,0.0000,0.9801,0.0000,0.0199,0.0000,
ST. CHARLES,ST. CHARLES SEC.,84,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9881,0.0000,0.0000,0.0119,1.0000,0.0000,0.0000,0.0000,0.9643,0.0119,0.0119,0.0000,0.0119,0.9643,0.0357,0.0000,0.0000,0.9524,0.0357,0.0119,0.0000,
BIG LAKE,BIG LAKE MID.,261,0.9962,0.0000,0.0038,0.0000,0.9962,0.0000,0.0038,0.0000,0.9885,0.0038,0.0077,0.0000,0.9962,0.0000,0.0038,0.0000,0.9808,0.0000,0.0038,0.0115,0.0038,0.9808,0.0038,0.0153,0.0000,0.9808,0.0038,0.0153,0.0000,
RED LAKE,RED LAKE MIDDLE SCHOOL,89,0.5843,0.0000,0.4157,0.0000,0.7978,0.1798,0.0225,0.0000,0.9888,0.0112,0.0000,0.0000,0.9888,0.0000,0.0112,0.0000,0.9663,0.0000,0.0337,0.0000,0.0000,0.5843,0.0000,0.4157,0.0000,0.5281,0.0000,0.4719,0.0000,
SOUTH ST. PAUL,SOUTH ST. PAUL SEC.,269,0.9963,0.0000,0.0037,0.0000,0.9926,0.0000,0.0037,0.0037,0.9888,0.0037,0.0037,0.0037,0.9888,0.0000,0.0074,0.0037,0.9888,0.0037,0.0037,0.0037,0.0000,0.9703,0.0000,0.0297,0.0000,0.9591,0.0000,0.0409,0.0000,
HOPKINS,BRECK,90,0.9667,0.0111,0.0111,0.0111,0.9778,0.0000,0.0222,0.0000,0.9889,0.0000,0.0000,0.0111,0.9889,0.0000,0.0111,0.0000,0.9889,0.0000,0.0000,0.0111,0.0000,0.9667,0.0111,0.0111,0.0111,0.9889,0.0000,0.0111,0.0000,
MORRIS AREA PUBLIC SCHOOLS,MORRIS AREA SECONDARY,90,0.9889,0.0000,0.0111,0.0000,0.9889,0.0000,0.0111,0.0000,0.9889,0.0000,0.0111,0.0000,0.9889,0.0000,0.0111,0.0000,0.9556,0.0000,0.0333,0.0111,0.0000,0.9667,0.0222,0.0111,0.0000,0.9667,0.0222,0.0111,0.0000,
ZUMBROTA-MAZEPPA,ZUMBROTA-MAZEPPA MID.,92,0.9783,0.0109,0.0109,0.0000,0.9891,0.0000,0.0109,0.0000,0.9891,0.0000,0.0109,0.0000,1.0000,0.0000,0.0000,0.0000,0.9565,0.0000,0.0217,0.0217,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
SOUTH WASHINGTON COUNTY,LAKE MIDDLE,463,0.9914,0.0000,0.0065,0.0022,0.9914,0.0000,0.0065,0.0022,0.9892,0.0000,0.0086,0.0022,0.9892,0.0000,0.0065,0.0043,0.9719,0.0022,0.0130,0.0108,0.0022,0.9892,0.0022,0.0086,0.0000,0.9892,0.0000,0.0086,0.0022,
ST. CLOUD,NORTH JR.,280,0.9857,0.0071,0.0071,0.0000,0.9821,0.0107,0.0071,0.0000,0.9893,0.0036,0.0071,0.0000,0.9929,0.0036,0.0036,0.0000,0.9714,0.0214,0.0000,0.0071,0.0000,0.9036,0.0964,0.0000,0.0000,0.8714,0.1286,0.0000,0.0000,
ROCHESTER,WILLOW CREEK MID.,375,0.9947,0.0000,0.0053,0.0000,0.9947,0.0000,0.0053,0.0000,0.9893,0.0000,0.0107,0.0000,0.9920,0.0000,0.0027,0.0053,0.9760,0.0000,0.0160,0.0080,0.0000,0.9787,0.0000,0.0213,0.0000,0.9787,0.0000,0.0213,0.0000,
LITTLE FALLS,COMMUNITY MIDDLE,190,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9895,0.0000,0.0105,0.0000,1.0000,0.0000,0.0000,0.0000,0.9684,0.0000,0.0158,0.0158,0.0000,0.9632,0.0158,0.0211,0.0000,0.9684,0.0158,0.0158,0.0000,
ROCHESTER,JOHN ADAMS MID.,385,0.9922,0.0000,0.0078,0.0000,0.9922,0.0000,0.0078,0.0000,0.9896,0.0000,0.0104,0.0000,0.9844,0.0026,0.0104,0.0026,0.9662,0.0026,0.0156,0.0156,0.0000,0.9870,0.0000,0.0130,0.0000,0.9870,0.0000,0.0130,0.0000,
BLUE EARTH AREA PUBLIC SCHOOL,BLUE EARTH AREA JR.,97,0.9897,0.0000,0.0000,0.0103,0.9897,0.0000,0.0000,0.0103,0.9897,0.0000,0.0000,0.0103,1.0000,0.0000,0.0000,0.0000,0.9897,0.0000,0.0000,0.0000,0.0103,1.0000,0.0000,0.0000,0.0000,0.9897,0.0000,0.0000,0.0103,
LACRESCENT-HOKAH,LACRESCENT HOKAH MIDDLE SCHOOL,100,0.9900,0.0100,0.0000,0.0000,0.9900,0.0100,0.0000,0.0000,0.9900,0.0100,0.0000,0.0000,0.9900,0.0100,0.0000,0.0000,0.9900,0.0100,0.0000,0.0000,0.0000,0.9900,0.0100,0.0000,0.0000,0.9900,0.0100,0.0000,0.0000,
MINNEAPOLIS,FOLWELL PERFORMING ARTS MAGNET,100,0.9900,0.0000,0.0100,0.0000,0.9900,0.0000,0.0100,0.0000,0.9900,0.0000,0.0100,0.0000,0.9900,0.0000,0.0100,0.0000,0.9800,0.0000,0.0000,0.0200,0.0000,0.9800,0.0000,0.0200,0.0000,1.0000,0.0000,0.0000,0.0000,
ROCHESTER,KELLOGG MID.,300,0.9967,0.0000,0.0033,0.0000,0.9933,0.0000,0.0067,0.0000,0.9900,0.0033,0.0067,0.0000,0.9767,0.0033,0.0133,0.0067,0.9600,0.0033,0.0233,0.0133,0.0000,0.9833,0.0067,0.0100,0.0000,0.9833,0.0067,0.0100,0.0000,
SPRING LAKE PARK,WESTWOOD MID.,407,0.9926,0.0000,0.0074,0.0000,0.9926,0.0000,0.0074,0.0000,0.9902,0.0000,0.0098,0.0000,0.9926,0.0000,0.0074,0.0000,0.9877,0.0000,0.0000,0.0074,0.0049,0.9656,0.0172,0.0172,0.0000,0.9656,0.0172,0.0147,0.0025,
PIERZ,HEALY SEC.,102,0.9902,0.0000,0.0098,0.0000,0.9902,0.0000,0.0098,0.0000,0.9902,0.0000,0.0098,0.0000,0.9902,0.0000,0.0098,0.0000,0.9706,0.0000,0.0000,0.0294,0.0000,0.9706,0.0098,0.0196,0.0000,0.9706,0.0098,0.0196,0.0000,
LAKEVILLE,CENTURY JUNIOR HIGH SCHOOL,309,0.9935,0.0000,0.0065,0.0000,0.9871,0.0032,0.0097,0.0000,0.9903,0.0000,0.0097,0.0000,0.9968,0.0000,0.0032,0.0000,0.9644,0.0000,0.0162,0.0129,0.0065,0.9773,0.0032,0.0194,0.0000,0.9773,0.0032,0.0194,0.0000,
ST. PAUL,CAPITOL HILL,217,1.0000,0.0000,0.0000,0.0000,0.9954,0.0000,0.0046,0.0000,0.9908,0.0000,0.0092,0.0000,0.9862,0.0000,0.0046,0.0092,0.9631,0.0000,0.0230,0.0138,0.0000,0.9724,0.0138,0.0138,0.0000,0.9677,0.0184,0.0138,0.0000,
OSSEO,NORTH VIEW MIDDLE SCHOOL,219,0.9041,0.0822,0.0091,0.0046,0.9635,0.0183,0.0183,0.0000,0.9909,0.0000,0.0091,0.0000,0.9772,0.0046,0.0183,0.0000,0.9680,0.0000,0.0228,0.0091,0.0000,0.9680,0.0183,0.0137,0.0000,0.9589,0.0183,0.0228,0.0000,
CROOKSTON,CROOKSTON HIGH SCHOOL,112,0.9911,0.0000,0.0089,0.0000,0.9911,0.0000,0.0089,0.0000,0.9911,0.0000,0.0089,0.0000,0.9911,0.0000,0.0089,0.0000,0.9554,0.0089,0.0179,0.0179,0.0000,0.9732,0.0089,0.0179,0.0000,0.9732,0.0089,0.0179,0.0000,
NEW LONDON-SPICER,NEW LONDON-SPICER MID.,116,0.9914,0.0000,0.0086,0.0000,0.9828,0.0086,0.0086,0.0000,0.9914,0.0000,0.0086,0.0000,0.9914,0.0000,0.0086,0.0000,0.9655,0.0086,0.0086,0.0172,0.0000,0.9828,0.0086,0.0086,0.0000,0.9655,0.0259,0.0086,0.0000,
